step byteswritten deletes hits images imagesizes inserts merges pkgs realsize reqsize size upkgs usize
150 6080840471141 4 11 28 63051046237 32 108 25535 10790171095 6843211868 1361056306189 5741 371052267719
151 6157926200402 4 11 28 63051046237 32 109 25783 77085729261 29761071110 1370960842850 5768 373058063559
152 6169905020951 4 11 28 63051046237 32 110 25874 11978820549 8606261170 1378442737429 5771 373231355985
153 6173089563153 4 11 29 62907276921 33 110 25982 3184542202 3184542202 1381627279631 5775 373362296834
154 6243002419932 4 11 29 63194815553 33 111 26196 69912856779 30168127972 1391117939229 5794 375900910237
155 6328099690344 4 11 29 63194815553 33 112 26352 85097270412 24370398681 1399129480380 5818 376818609298
156 6331201155898 4 11 30 63051046237 34 112 26393 3101465554 3101465554 1402230945934 5820 377006656440
157 6389217209029 5 11 29 63194815553 34 113 26470 58016053131 30419077779 1408919009404 5843 378273176761
158 6389217209029 7 12 27 63194815553 34 113 24697 72601377692 32465314186 1307505350108 5650 365029331954
159 6487551056205 7 12 27 63194815553 34 114 24854 98333847176 32404986098 1316649506345 5690 367519264318
160 6487551056205 7 13 27 63194815553 34 114 24854 94541043633 16813140321 1316649506345 5690 367519264318
161 6565231809729 7 13 27 63194815553 34 115 25051 77680753524 35562781546 1326782813825 5718 371103542381
162 6642425935453 7 13 27 63194815553 34 116 25267 77194125724 32071552200 1334064082770 5764 373797467282
163 6684943645883 7 13 27 63194815553 34 117 25559 42517710430 26400614288 1347403707452 5792 374688202901
164 6684943645883 7 14 27 63194815553 34 117 25559 86593012812 41572188123 1347403707452 5792 374688202901
165 6702116785019 7 14 27 63194815553 34 118 25749 17173139136 10006141268 1353786675493 5792 374688202901
166 6739356290524 7 14 27 63194815553 34 119 26093 37239505505 31738198161 1373853041862 5827 376643407103
167 6790612446645 7 14 27 63194815553 34 120 26406 51256156121 36876532820 1387869692478 5852 379575914184
168 6846169680122 7 14 27 63194815553 34 121 26752 55557233477 33351079367 1400909215525 5880 380252462185
169 6849736742089 8 14 27 63194815553 35 121 25635 3567061967 3567061967 1341569000571 5755 372949573948
170 6849736742089 8 15 27 63194815553 35 121 25635 66954157278 35001086391 1341569000571 5755 372949573948
171 6926275683004 8 15 27 63194815553 35 122 25819 76538940915 30663598163 1351153784208 5783 376044983106
172 6950967325860 8 15 27 63194815553 35 123 25938 24691642856 18850089670 1363866606515 5791 377555578007
173 7015284387158 8 15 27 64317061298 35 124 26163 64317061298 28487551483 1372626434336 5819 378849121015
174 7077239242953 8 15 27 64317061298 35 125 26306 61954855795 31476333672 1383325134010 5842 382260852404
175 7083775447594 8 15 27 64317061298 35 126 26333 6536204641 5382048663 1387541826503 5845 382262225800
176 7084230727872 8 15 28 63755938425 36 126 26338 455280278 455280278 1387997106781 5845 382262225800
177 7156706869276 8 15 28 68396601351 36 127 26588 72476141404 32193151861 1397278432632 5879 383401614652
178 7227147426429 8 15 28 71458349278 36 128 26749 70440557153 35538500509 1405764133990 5912 384679430992
179 7331695083463 9 15 27 70440557153 36 129 25170 104547657034 35302499432 1340057485826 5810 377810372541
180 7414200627419 9 15 27 70440557153 36 130 25329 82505543956 25226161423 1345368904058 5833 378465475001
181 7496393315488 9 15 27 70440557153 36 131 25421 82192688069 32275664891 1354960214435 5853 380387588633
182 7496393315488 9 16 27 70440557153 36 131 25421 58016053131 12457874408 1354960214435 5853 380387588633
183 7497478194280 9 16 28 67378809225 37 131 25475 1084878792 1084878792 1356045093227 5855 380503872417
184 7577123666192 9 16 28 68396601351 37 132 25630 79645471912 34678688899 1365250007986 5885 385706124489
185 7610063596638 9 16 28 68396601351 37 133 25807 32939930446 17621252372 1373498295576 5885 385706124489
186 7678547084519 9 16 28 70479814642 37 134 25999 68483487881 23988349511 1377664722159 5900 386422553561
187 7775049083459 9 16 28 70479814642 37 135 26151 96501998940 45294047866 1396361969939 5935 395291136048
188 7775049083459 9 17 28 70479814642 37 135 26151 104547657034 35302499432 1396361969939 5935 395291136048
189 7780870766259 9 17 29 68483487881 38 135 26315 5821682800 5821682800 1402183652739 5938 395453008794
190 7858666971709 10 17 28 65246097267 38 136 24925 77796205450 32028642968 1321191827111 5841 389011338940
191 7925528638989 10 17 28 69668904342 38 137 25166 66861667280 29579936667 1330037441260 5860 390583025916
192 7973758684845 10 17 28 69668904342 38 138 25400 48230045856 30342687222 1345327556670 5879 392938325417
193 8068383786849 10 17 28 69668904342 38 139 25667 94625102004 35145909290 1354855388262 5904 394275120138
194 8077266693263 10 17 28 69668904342 38 140 25705 8882906414 5308616525 1357916611876 5908 394333821844
195 8137600355162 10 17 28 69668904342 38 141 25873 60333661899 27640335962 1370020227919 5928 397046292739
196 8230107338832 10 17 28 69668904342 38 142 26150 92506983670 36294851921 1380021667633 5988 399586643394
197 8237936987919 10 17 28 69668904342 38 143 26210 7829649087 6789902107 1384666774518 5992 399946350891
198 8243681337593 10 17 29 66861667280 39 143 26417 5744349674 5744349674 1390411124192 5995 400130695510
199 8307450446383 10 17 29 66861667280 39 144 26538 63769108790 17378705858 1393846571083 6000 400381093819
200 8378871476371 10 17 29 71421029988 39 145 26766 71421029988 30107884486 1401498492281 6040 401751263178
201 8405028915026 12 17 28 69141348634 40 145 25613 26157438655 26157438655 1348662924700 5896 393378895252
202 8495604172268 12 17 28 69668904342 40 146 25858 90575257242 43447521291 1367817151954 5953 401492860931
203 8502090835937 12 17 28 69668904342 40 147 25891 6486663669 5264930132 1370736753656 5954 401648614169
204 8543998548234 12 17 28 69668904342 40 148 26145 41907712297 24282383394 1386487027298 5964 402167581027
205 8560032816818 12 17 28 69668904342 40 149 26385 16034268584 14065998218 1396776946208 5973 402335737331
206 8610655122355 12 17 28 69668904342 40 150 26734 50622305537 24330039888 1405491539448 5997 403605074035
207 8680362901381 15 17 25 76538940915 40 151 26809 69707779026 45158938597 1410718104757 6021 405057735491
208 8755785982089 17 17 23 76538940915 40 152 25045 75423080708 24750577647 1322710125159 5889 388174794298
209 8771519739796 17 17 23 76538940915 40 153 25198 15733757707 11002708332 1330614233779 5889 388174794298
210 8788701010538 17 17 24 75981010811 41 153 25494 17181270742 17181270742 1347795504521 5889 388174794298
211 8872272430702 17 17 24 75981010811 41 154 25697 83571420164 29261283131 1353686171161 5922 389233417901
212 8986330583421 17 17 24 75981010811 41 155 25795 114058152719 33176254016 1363196666846 5948 391213615633
213 8986330583421 17 18 24 75981010811 41 155 25795 94625102004 24370398681 1363196666846 5948 391213615633
214 9018750541132 17 18 24 75981010811 41 156 26032 32419957711 24756016877 1378435353815 5964 392512920341
215 9018750541132 17 19 24 75981010811 41 156 26032 75423080708 24750577647 1378435353815 5964 392512920341
216 9035313573661 17 19 25 75423080708 42 156 26282 16563032529 16563032529 1394998386344 5967 392525610859
217 9061157118559 17 19 25 75423080708 42 157 26394 25843544898 17836880583 1405108173535 5972 392946323258
218 9149913047105 19 19 23 76538940915 42 158 24563 88755928546 32887325824 1317005708643 5837 385321352854
219 9202329045304 19 19 23 76538940915 42 159 24895 52415998199 38078824584 1337001749131 5868 388471595628
220 9203400559779 19 19 24 74507541159 43 159 24933 1071514475 1071514475 1338073263606 5869 388502177788
221 9249404482326 19 19 24 74507541159 43 160 25265 46003922547 32429584064 1358233641255 5897 391070895527
222 9305797111086 19 19 24 74507541159 43 161 25555 56392628760 30367674818 1368622347468 5936 391771246418
223 9397702221430 19 19 24 74507541159 43 162 25755 91905110344 32191289578 1378334769743 5971 393347599296
224 9457600318558 19 19 24 74507541159 43 163 25939 59898097128 26647224012 1385816868672 5991 394064309504
225 9473981217635 19 19 24 74507541159 43 164 26083 16380899077 11586908076 1393314861335 5997 394491671362
226 9480405569188 19 19 25 72476141404 44 164 26204 6424351553 6424351553 1399739212888 5999 394515157305
227 9558067132772 19 19 25 76538940915 44 165 26408 77661563584 44299314383 1417502679344 6030 399242181658
228 9578813337150 20 19 24 74507541159 44 166 24652 20746204378 10441824880 1335274971833 5868 383735249806
229 9645422442701 20 19 24 74507541159 44 167 24902 66609105551 33564820855 1345491448624 5892 385390322920
230 9729730470689 20 19 24 74507541159 44 168 25081 84308027988 34781022942 1352003271162 5918 386157449966
231 9820888061253 20 19 24 74507541159 44 169 25446 91157590564 38308786488 1365499298142 5962 388647777790
232 9851660971196 20 19 24 74507541159 44 170 25667 30772909943 24243342637 1375526003707 5978 389324241424
233 9885488680568 20 19 24 74507541159 44 171 25737 33827709372 15447831583 1378580803136 5982 389367255847
234 9934908162876 20 19 24 74507541159 44 172 25971 49419482308 34692409263 1394172576072 6010 392164431359
