picks choicecount closurecount choicesize closuresize
288 285 1531 20966228794 78881999902
289 286 1535 21136990512 79194335164
290 287 1538 21158831479 79194774101
291 288 1539 21168517306 79195177934
292 289 1540 21386620930 79497731482
293 290 1540 21436870154 79559492320
294 291 1544 21469548189 80480608222
295 292 1551 21648786822 80776049652
296 293 1551 21877122152 81167302613
297 294 1554 21989430235 81209122690
298 295 1554 22019956595 81507934766
299 296 1557 22066598524 81529748590
300 297 1557 22091967092 81586441360
301 298 1573 22128008955 81652459321
302 299 1577 22190502738 82048311360
303 300 1586 22202121649 82218858855
304 301 1587 22202806615 82382752923
305 302 1590 22221014712 82403680646
306 303 1591 22366077598 82574408735
307 304 1592 22368679135 82652123839
308 305 1600 22483429716 82856785957
309 306 1610 22522229131 82885676851
310 307 1614 22695285668 83453044960
311 308 1615 22800437571 83527402399
312 309 1617 22904967341 83651079210
313 310 1624 22968210950 84059360347
314 311 1625 23047407776 84203114546
315 311 1628 23050917506 84509725393
316 312 1632 23132789117 84527875837
317 313 1633 23143220943 84582119561
318 314 1635 23150158705 84679937280
319 315 1636 23151424985 84683044642
320 316 1638 23315732248 85269415389
321 317 1638 23370519240 85270331703
322 318 1641 23420870281 85441527701
323 319 1644 23466699947 85517147846
324 320 1646 23501146408 85983110306
325 321 1647 23573125190 86154039335
326 322 1651 23594157041 86249318784
327 323 1654 23785695524 86300856115
328 324 1655 23932020022 86546080368
329 325 1664 23951157186 86868603039
330 326 1666 24041317743 86987487122
331 327 1667 24099068533 87085742392
332 328 1668 24126608100 87224535823
333 329 1669 24126608100 87313127397
334 330 1671 24128328628 87313175565
335 331 1673 24178172880 87633878516
336 332 1675 24310505739 88274227098
337 333 1682 24435849176 88282548416
338 334 1685 24480816701 88568067471
339 335 1686 24484125219 88665638006
340 336 1687 24521271653 88671598829
341 337 1693 24698944588 88961390736
342 337 1694 24705724072 88967763542
343 338 1695 24792701670 89252731581
344 339 1697 24796898371 89339604073
345 340 1698 24864037497 89529115026
346 341 1699 24939058855 89790865006
347 342 1700 25052189971 90053789266
348 343 1703 25124578786 90175335358
349 344 1707 25531947692 90181123527
350 345 1710 25533312945 90200912768
351 346 1713 25567560373 90244782320
352 347 1716 25715127332 90307135424
353 348 1718 25715602521 90408443896
354 349 1719 25731184239 90409990105
355 350 1723 25815215278 90606411094
356 351 1725 25869448000 90674926710
357 352 1727 26160297262 90764918230
358 353 1727 26491054777 91276100709
359 354 1732 26750958137 91707116902
360 355 1733 26843892697 91924350134
361 356 1734 26902361397 91943667850
362 357 1746 26953967080 92166443464
363 358 1748 26954050373 92482435852
364 359 1751 26965662171 92499333117
365 360 1753 26990408552 92583227630
366 361 1754 27124993860 92956542521
367 362 1767 27125428887 92979882304
368 363 1769 27125616417 93231418214
369 363 1770 27409491173 93438425378
370 364 1771 27519417868 93511142565
371 365 1774 27522222480 93516930365
372 366 1775 27622698254 93532187333
373 367 1777 27626074094 93721098876
374 368 1786 27742775575 94084884880
375 369 1788 27805025272 94091522397
376 370 1794 27805091301 94222932984
377 371 1794 27942665652 94361555362
378 372 1798 27944933199 94365311940
379 373 1801 28039999759 94374895539
380 374 1806 28324373655 94452505374
381 375 1807 28341486564 94601149777
382 376 1810 28398247247 94653187294
383 377 1816 28424969627 95123022658
384 378 1817 28425481648 95297370914
385 379 1821 28427660054 95390084463
386 380 1822 28505866643 95581305529
387 381 1824 28619219352 95743452328
388 382 1829 28633519593 95941890882
389 383 1830 28642123575 96123900363
390 384 1830 28642228947 96512910928
391 384 1832 28650808889 96663803244
392 385 1832 28706728160 96673440559
393 386 1834 28783138139 96742455479
394 387 1837 28793815818 96902400128
395 388 1840 28903588141 97399595221
396 389 1842 28966222894 97399595221
397 390 1846 29080975278 97499603386
398 391 1847 29088976151 97499636737
399 392 1848 29157985813 97570080265
400 393 1849 29438979880 97861336873
401 394 1851 29467144818 98054504084
402 395 1852 29496922783 98054591021
403 396 1854 29557146328 98132489645
404 397 1856 29647139253 98161374848
405 398 1857 29759505841 98613664417
406 399 1860 29843361426 99203335231
407 400 1862 29848977200 99341864988
408 401 1866 29885417321 99425339591
409 402 1871 29990772642 99505882638
410 403 1878 30192811388 100026909568
411 404 1878 30269624849 100184143618
412 405 1885 30435822449 100384369610
413 406 1886 30435960457 100434505137
414 407 1886 30492714944 100479042278
415 408 1888 30495298221 100757806361
416 409 1892 30630748184 100798499852
417 410 1895 30671230653 100848342451
418 411 1898 30694666014 100857867124
419 412 1899 30762642327 101142315056
420 413 1907 30837958364 101554431333
421 414 1909 30838462188 101562373960
422 415 1911 30891889561 101720076061
423 416 1912 30986029684 101918781368
424 416 1918 31017337409 102000012675
425 417 1921 31031086206 102243303630
426 418 1922 31109914694 102576375734
427 419 1922 31113665223 102580673349
428 420 1923 31114902369 102581068858
429 421 1925 31201633392 102988922767
430 422 1926 31393665071 103072010752
431 423 1928 31432022058 103097335602
432 424 1935 31520202230 103097615242
433 425 1937 31565873545 103097615242
434 425 1938 31694377234 103448687218
435 426 1940 31825864918 103497625344
436 427 1952 32114202054 103521698877
437 428 1954 32152565695 103587606113
438 429 1955 32309465246 103588133608
439 430 1960 32325360127 103670272973
440 431 1967 32339045386 103834914981
441 432 1968 32399523345 104072868279
442 433 1973 32451087206 104359703366
443 434 1973 32482410442 104408654672
444 435 1980 32497731056 104411861813
445 436 1982 32595560627 105023586702
446 437 1983 32630034915 105060337804
447 438 1984 32649110299 105064517769
448 439 1985 32651499080 105136336875
449 440 1987 32655009476 105667223595
450 441 1988 32710825740 105680514732
451 442 1991 32743726015 105680543461
452 443 1991 32818484628 106022110127
453 444 1992 32826823842 106056950540
454 445 1995 32827174914 106059643905
455 446 1999 32839606720 106512578421
456 447 2000 32840264427 106521660143
457 448 2000 32945101123 106891699330
458 449 2003 33047735958 106893587708
459 450 2004 33153980148 107204534762
460 451 2005 33190502448 107893401938
461 452 2006 33219519725 107893449516
462 452 2019 33434588040 108132338510
463 453 2020 33451552206 108401079434
464 454 2020 33467281251 108470319145
465 455 2022 33581796952 108477964794
466 456 2022 33690370899 108596059856
467 457 2024 33695535424 108868091957
468 458 2027 33934529913 108965234925
469 459 2029 34014469862 108998354935
470 460 2032 34123942960 109134725692
471 461 2033 34223197828 109185828556
472 462 2041 34247690863 109241417650
473 463 2048 34252696448 109303516719
474 464 2049 34650178222 109532750676
475 465 2052 34650512958 109688732822
476 466 2053 35063425102 109817800456
477 467 2053 35139556612 110081082472
478 468 2054 35149849652 110163982481
479 469 2056 35164833475 110225093474
480 469 2056 35184807974 110292726077
481 470 2057 35226942240 110358148133
482 471 2058 35258688739 110860509671
483 472 2059 35363238029 110886256166
484 473 2059 35501820013 111040615958
485 474 2061 35589332010 111073217501
486 475 2062 35598523541 111114710674
487 476 2063 35702117416 111309604557
488 477 2064 35798800065 111372974946
489 478 2065 35799689771 111472691070
490 479 2067 35801231637 111472986371
491 480 2067 35813683100 111497520409
492 481 2074 35873764430 111510307902
493 482 2079 35882371704 111679142949
494 483 2085 35947677556 111819146045
495 484 2086 35948898477 111866678538
496 485 2087 35962181222 112047941566
497 486 2089 36080204401 113132223298
498 487 2091 36254217221 113492839699
499 488 2099 36296291524 113508502490
500 488 2102 36309929620 113508821045
501 489 2103 36531293521 113583824154
502 490 2106 36811002462 113686272893
503 491 2108 36813229009 113944729305
504 492 2109 36832967269 113944782162
505 493 2114 36833332525 113944810164
506 494 2115 37113259884 114061716081
507 495 2116 37120069124 114269506800
508 496 2116 37120914131 114269506800
509 497 2117 37126855642 114277032329
510 498 2118 37272668876 114277393415
511 499 2120 37373756519 114307990019
512 500 2137 37373940239 114562887083
513 501 2138 37408512633 114562887083
514 502 2138 37410785359 114576931042
515 503 2142 37425727820 115019814391
516 504 2142 37460226692 115038082257
517 505 2147 37462329189 115150890646
518 506 2147 37524496510 115209894044
519 507 2155 37527746955 115298165940
520 508 2157 37528489858 115407819960
521 509 2158 37602940623 115915019282
522 510 2160 37675454445 115915300463
523 511 2161 37684573382 116035954025
524 512 2163 37739739996 117107626218
525 512 2164 37845291210 117113447156
526 513 2165 37884383468 117200476757
527 514 2167 37930384265 117273237459
528 515 2171 37930994632 117293453133
529 516 2172 37931452643 117293453133
530 517 2173 37933435060 117512427522
531 518 2175 38264569713 117713843408
532 519 2182 38277791743 117725587639
533 520 2184 38289473251 117733419601
534 521 2186 38366132200 117893608336
535 522 2188 38382329909 117895504047
536 523 2189 38393150225 118265015387
537 524 2191 38394840938 118299785542
538 525 2195 38409658202 118299791686
539 526 2197 38621022691 118429097421
540 527 2201 38622486446 118906674723
541 528 2208 38684533983 119412163187
542 529 2209 38685535625 119444058739
543 530 2210 38811673544 119468279775
544 531 2213 38909541971 119593108209
545 532 2214 38910017414 119710463023
546 532 2214 39675161983 119712412587
547 533 2220 39676758835 120344374142
548 534 2222 39693863622 120494692792
549 535 2223 39703270342 120591423186
550 536 2224 39734872569 120591991004
551 537 2225 39741384635 120654234171
552 538 2227 39741624267 120747907063
553 539 2228 40263938448 120751879436
554 540 2232 40350049953 120805621106
555 541 2235 40354135056 120893808383
556 542 2240 40697238871 121081801068
557 543 2244 40744360945 121082630601
558 544 2247 40975783528 121348174840
559 545 2248 41565082695 121799929750
560 546 2250 41658820337 121800128841
561 547 2252 41661458272 121802732731
562 548 2253 41720454933 121817386765
563 548 2254 41764677582 121818612687
564 549 2264 41888697614 121818612687
565 550 2265 41944054811 122047442580
566 551 2266 42002168360 122312456482
567 552 2267 42017010757 122314165330
568 553 2268 42067246430 122526994807
569 554 2269 42067301764 122531496957
570 555 2270 42067350684 122903681209
571 556 2270 42133412284 123157125349
572 557 2271 42147820688 123157348268
573 558 2272 42262926564 123223530322
574 559 2273 42305390275 123274937857
575 560 2276 42308697795 123278970519
576 561 2280 42347127921 123478614325
577 562 2282 42403210174 123785255605
578 563 2282 42404037397 123785655511
579 564 2286 42405958150 123785922705
580 565 2288 42575550003 124182655803
581 566 2289 42692616776 124184249081
582 566 2291 42764480657 124342706029
583 567 2293 42783317058 124465659407
584 568 2301 43049490440 124704994372
585 569 2303 43050071966 124721082438
586 570 2303 43062490636 124770801741
587 571 2303 43157558409 124794728928
588 572 2304 43160595126 125280413249
589 573 2306 43160912641 125434044296
590 574 2310 43161995377 125721371169
591 575 2311 43430937338 125753752772
592 576 2312 43431107374 125951655399
593 576 2313 43590056142 126063097473
594 577 2316 43611306015 126276220674
595 578 2316 43630587934 126309215053
596 579 2317 43630747541 126425330947
597 580 2320 43634097760 126511412518
598 581 2321 43650980861 126705233045
599 582 2321 43807151645 126816644877
600 583 2321 43808560344 126891362337
601 584 2327 43957318244 127052644865
602 585 2328 44011847970 127158218222
603 586 2329 44018828411 127231216703
604 587 2330 44021001400 127266497934
605 588 2330 44034806814 127396316370
606 589 2331 44081914130 127485916765
607 590 2333 44333957661 127496000613
608 591 2335 44578369040 127510513730
609 592 2337 44579885817 127512224032
610 593 2337 44753907456 127903069359
611 593 2337 44811691945 128264349941
612 594 2338 44964111704 128521697364
613 595 2339 45089761668 128883713926
614 596 2343 45104365517 129117249200
615 597 2344 45484515478 129273416914
616 598 2350 45627258203 129422642322
617 599 2352 45683919336 129459067060
618 600 2353 45684439741 129582339090
619 601 2355 45709153243 129655420294
620 601 2356 45712714788 129720017748
621 602 2358 45712950194 130004460775
622 603 2359 45714110226 130115871392
623 604 2360 45722074646 130125124415
624 605 2362 46047201141 130125124415
625 606 2362 46141411698 130125701566
626 607 2363 46253702728 130180236280
